,Date,tweet,polarity,sentiment
30,2019-04-04,Thank you @Trish_Regan!pic.twitter.com/6CyCpHnR6x,positive,1
31,2019-04-04,WELCOME BACK JOE!pic.twitter.com/b2NbBSX3sx,positive,1
32,2019-04-04,"The New York Times had no legitimate sources, which would be totally illegal, concerning the Mueller Report. In fact, they probably had no sources at all! They are a Fake News paper who have already been forced to apologize for their incorrect and very bad reporting on me!",negative,-1
33,2019-04-04,There is nothing we can ever give to the Democrats that will make them happy. This is the highest level of Presidential Harassment in the history of our Country!,positive,1
34,2019-04-04,"According to polling, few people seem to care about the Russian Collusion Hoax, but some Democrats are fighting hard to keep the Witch Hunt alive. They should focus on legislation or, even better, an investigation of how the ridiculous Collusion Delusion got started - so illegal!",negative,-1
35,2019-04-04,"Despite the unnecessary and destructive actions taken by the Fed, the Economy is looking very strong, the China and USMCA deals are moving along nicely, there is little or no Inflation, and USA optimism is very high!",negative,-1
36,2019-04-04,THE REPUBLICAN PARTY IS THE PARTY OF THE AMERICAN DREAM!,positive,1
37,2019-04-05,"Congratulations David, a very big deal!https://twitter.com/IvankaTrump/status/1114217902109011969 …",positive,1
38,2019-04-05,Just checked out the new Wall on the Border - GREAT! Leaving now for L.A.,positive,1
39,2019-04-05,Join me in California for a Roundtable on Immigration and Border Security!https://www.pscp.tv/w/b3eyYTFvTlFsTFJub1dwUXd8MU1uR252WXlna01HT1POEdByWsZg4W4Ala_uow0EM2GzlF6Fu0XAITrZsssj?t=1s …,neutral,0
40,2019-04-05,"Just arrived in Calexico, California!pic.twitter.com/lTChNxsHj6",neutral,0
41,2019-04-05,"Will soon be landing in Calexico, California to look at a portion of the new WALL being built on our Southern Border. Within two years we will have close to 400 miles built or under construction & keeping our Country SAFE – not easy when the Dems are always fighting to stop you!",neutral,0
42,2019-04-05,"The press is doing everything within their power to fight the magnificence of the phrase, MAKE AMERICA GREAT AGAIN! They can’t stand the fact that this Administration has done more than virtually any other Administration in its first 2yrs. They are truly the ENEMY OF THE PEOPLE!",positive,1
43,2019-04-05,"“America Created 196,000 Jobs in March, Beating Expectations for 170,000”https://www.breitbart.com/economy/2019/04/05/america-created-196000-jobs-in-march/ …",neutral,0
44,2019-04-05,I’ve employed thousands of Electrical Workers. They will be voting for me!,negative,-1
45,2019-04-05,Congratulations to Brian Hagedorn on his big surprise win over a well funded Liberal Democrat in the Great State of Wisconsin for a very important Supreme Court seat. Republicans are producing big for Wisconsin!,positive,1
46,2019-04-05,JOBS! JOBS! JOBS!https://twitter.com/WhiteHouseCEA/status/1114158362571284480 …,neutral,0
47,2019-04-05,Heading to the Southern Border to show a section of the new Wall being built! Leaving now!,neutral,0
48,2019-04-05,"....This will supersede USMCA. Likewise I am looking at an economic penalty for the 500 Billion Dollars in illegal DRUGS that are shipped and smuggled through Mexico and across our Southern Border. Over 100,00 Americans die each year, sooo many families destroyed!",negative,-1
49,2019-04-05,"....However, if for any reason Mexico stops apprehending and bringing the illegals back to where they came from, the U.S. will be forced to Tariff at 25% all cars made in Mexico and shipped over the Border to us. If that doesn’t work, which it will, I will close the Border.......",negative,-1
50,2019-04-05,"The Crazed and Dishonest Washington Post again purposely got it wrong. Mexico, for the first time in decades, is meaningfully apprehending illegals at THEIR Southern Border, before the long march up to the U.S. This is great and the way it should be. The big flow will stop.......",neutral,0
51,2019-04-05,“Trolling the Mueller Report. Democrats Lost On Collusion. Now They’re Inventing A Coverup.” @WSJopinion James Freeman @LouDobbs,negative,-1
52,2019-04-05,"I am pleased to announce that Jovita Carranza will be nominated as the new @SBAgov Administrator. She will be replacing Linda McMahon, who has done an outstanding job. Jovita was a great Treasurer of the United States – and I look forward to her joining my Cabinet!",positive,1
53,2019-04-06,"....In the meantime, the Democrats in Congress must help the Republicans (we need their votes) to end the horrible, costly and foolish loopholes in our Immigration Laws. Once that happens, all will be smooth. We can NEVER allow Open Borders!",negative,-1
54,2019-04-06,"....it’s powerful common sense Immigration Laws to stop illegals from coming through Mexico into the U.S., and removing them back to their country of origin. Until Mexico cleans up this ridiculous & massive migration, we will be focusing on Border Security, not Ports of Entry....",negative,-1
55,2019-04-06,We have redeployed 750 agents at the Southern Border’s specific Ports of Entry in order to help with the large scale surge of illegal migrants trying to make their way into the United States. This will cause traffic & commercial delays until such time as Mexico is able to use....,neutral,0
56,2019-04-06,"“Give Up, Trump-Haters” https://nypost.com/2019/04/04/ny-times-washington-post-are-still-disgracefully-enabling-collusion-delusion/ …pic.twitter.com/0Bt2jyorMn",neutral,0
57,2019-04-06,Why should I be defending a fraudulent Russian Witch Hunt. It’s about time the perpetrators of this fraud on me and the American People start defending their dishonest and treasonous acts. How and why did this terrible event begin? Never Forget!,negative,-1
58,2019-04-06,"To every member of the @RJC, thank you for your incredible support and your outstanding commitment to our Country, to our safety, and to electing MORE REPUBLICANS. Over the next 19 months, I know that the @RJC will help lead our party to another HISTORIC VICTORY! #TrumpAtRJCpic.twitter.com/P1brsp3PxF",positive,1
59,2019-04-06,".... against something I knew never existed, Collusion with Russia (so ridiculous!) - No Obstruction. This Russia Hoax must never happen to another President, and Law Enforcement must find out, HOW DID IT START?",negative,-1
60,2019-04-06,"So, let’s get this straight! There was No Collusion and in fact the Phony Dossier was a Con Job that was paid for by Crooked Hillary and the DNC. So the 13 Angry Democrats were investigating an event that never happened and that was in fact a made up Fraud. I just fought back....",negative,-1
61,2019-04-06,"Will be speaking today at the Republican Jewish Coalition ( @RJC) meeting in Las Vegas, Nevada. See everyone soon!https://twitter.com/mbrooksrjc/status/1114510868027338752 …",neutral,0
62,2019-04-06,".....years and $30 million, and they found No Collusion, No Obstruction. But the Democrats, no matter what we give them, will NEVER be satisfied. A total waste of time. As @FrankLuntz has just stated, “Enough, America has had enough. What have you accomplished. Public is fed up.”",negative,-1
63,2019-04-06,"I have not read the Mueller Report yet, even though I have every right to do so. Only know the conclusions, and on the big one, No Collusion. Likewise, recommendations made to our great A.G. who found No Obstruction. 13 Angry Trump hating Dems (later brought to 18) given two.....",negative,-1
64,2019-04-06,Thank you to two great people!https://twitter.com/DiamondandSilk/status/1099247495756996610 …,positive,1
65,2019-04-06,“Collusion was a Hoax from day one.” @dbongino @foxandfriends,neutral,0
66,2019-04-06,"“The lowest average jobs number for any President since 1951, 4.1%. Economy doing great. If the Democrats win, it is all over.” @Varneyco @foxandfriends I agree!",neutral,0
67,2019-04-06,"THANK YOU @DHSgov, @CBP, and @ICEgov!pic.twitter.com/BzNwKoUJlg",positive,1
68,2019-04-07,"....I am pleased to announce that Kevin McAleenan, the current U.S. Customs and Border Protection Commissioner, will become Acting Secretary for @DHSgov. I have confidence that Kevin will do a great job!",positive,1
69,2019-04-07,"Secretary of Homeland Security Kirstjen Nielsen will be leaving her position, and I would like to thank her for her service....",neutral,0
70,2019-04-07,Pleased to report that the American tourist and tour guide that were abducted in Uganda have been released. God bless them and their families!,positive,1
71,2019-04-07,"Looks like Bob Mueller’s team of 13 Trump Haters & Angry Democrats are illegally leaking information to the press while the Fake News Media make up their own stories with or without sources - sources no longer matter to our corrupt & dishonest Mainstream Media, they are a Joke!",negative,-1
72,2019-04-08,Congratulations to the Baylor Lady Bears on their amazing win last night against Notre Dame to become the 2019 NCAA Women’s Basketball National Champions!https://twitter.com/BaylorWBB/status/1115045592911228929 …,positive,1
73,2019-04-08,"The Democrats will never be satisfied, no matter what they get, how much they get, or how many pages they get. It will never end, but that’s the way life goes!",negative,-1
74,2019-04-08,Uganda must find the kidnappers of the American Tourist and guide before people will feel safe in going there. Bring them to justice openly and quickly!,neutral,0
75,2019-04-08,“Jerry Nadler is not entitled to this information. He is doing this to get it to the Democrat 2020 nominee.” @KatiePavlich,negative,-1
76,2019-04-08,"“The reason the whole process seems so politicized is that Democrats made up this complete lie about Collusion ....and none of it happened.” Charles Hurt. The Russian Hoax never happened, it was a fraud on the American people!",negative,-1
77,2019-04-08,"....Mexico must apprehend all illegals and not let them make the long march up to the United States, or we will have no other choice than to Close the Border and/or institute Tariffs. Our Country is FULL!",negative,-1
78,2019-04-08,More apprehensions (captures) at the Southern Border than in many years. Border Patrol amazing! Country is FULL! System has been broken for many years. Democrats in Congress must agree to fix loopholes - No Open Borders (Crimes & Drugs). Will Close Southern Border If necessary...,positive,1
79,2019-04-09,"THANK YOU, WORKING HARD!pic.twitter.com/3OUESGRw43",positive,1
80,2019-04-09,Check this out - TRUTH!pic.twitter.com/2HNVeEpKDu,negative,-1
81,2019-04-09,"Today, it was my great honor to welcome President @AlsisiOfficial of the Arab Republic of Egypt to the @WhiteHouse!pic.twitter.com/yBox7EhToT",positive,1
82,2019-04-09,"“She (Congresswoman Omar) keeps on assaulting Jews...” Jeff Ballabon, B2 Strategic, CEOpic.twitter.com/WMKN9RQm2n",neutral,0
83,2019-04-09,pic.twitter.com/OIpp7mL2uD,neutral,0
84,2019-04-09,"“What’s completely unacceptable is for Congesswoman Omar to target Jews, in this case Stephen Miller.” Jeff Ballabon, B2 Strategic, CEO. @Varneyco",neutral,0
85,2019-04-09,"On National Former Prisoner of War Recognition Day, we honor the Americans captured and imprisoned by foreign powers while carrying out their duties to defend this great Nation...https://www.whitehouse.gov/presidential-actions/proclamation-national-former-prisoner-war-recognition-day-2019/ …",neutral,0
86,2019-04-09,The Mainstream Media has never been more inaccurate or corrupt than it is today. It only seems to get worse. So much Fake News!,negative,-1
87,2019-04-09,"....I got along very well with Jerry during the zoning and building process. Then I changed course (slightly), became President, and now I am dealing with Congressman Nadler again. Some things never end, but hopefully it will all go well for everyone. Only time will tell!",positive,1
88,2019-04-09,"Congressman Jerry Nadler fought me for years on a very large development I built on the West Side of Manhattan. He wanted a Rail Yard built underneath the development or even better, to stop the job. He didn’t get either & the development became VERY successful. Nevertheless,....",neutral,0
89,2019-04-09,"The World Trade Organization finds that the European Union subsidies to Airbus has adversely impacted the United States, which will now put Tariffs on $11 Billion of EU products! The EU has taken advantage of the U.S. on trade for many years. It will soon stop!",neutral,0
90,2019-04-09,Congratulations to Virginia - Great game!,positive,1
91,2019-04-09,A 9th Circuit Judge just ruled that Mexico is too dangerous for migrants. So unfair to the U.S. OUT OF CONTROL!https://twitter.com/IngrahamAngle/status/1115370087551205377 …,negative,-1
92,2019-04-10,"THANK YOU Texas, I love you!pic.twitter.com/24D4K9ILFd",positive,1
93,2019-04-10,"Join me in Crosby, Texas as I deliver remarks and sign Executive Orders on Energy and Infrastructure!https://www.pscp.tv/w/b35Y7zFvTlFsTFJub1dwUXd8MXlvS01FdmtPRVdLUcWZWTLVFQT4LvSmyt9aXUjnZZqLWhY6MZPz0-rMZmSz?t=4s …",neutral,0
94,2019-04-10,"So, it has now been determined, by 18 people that truly hate President Trump, that there was No Collusion with Russia. In fact, it was an illegal investigation that should never have been allowed to start. I fought back hard against this Phony & Treasonous Hoax!",negative,-1
95,2019-04-10,Spoke to Bibi @Netanyahu to congratulate him on a great and hard-fought win. The United States is with him and the People of Israel all the way!https://twitter.com/netanyahu/status/1115997136460636160 …,positive,1
96,2019-04-10,Trump flags being waived at the Bibi @Netanyahu VICTORY celebration last night!pic.twitter.com/SX8RVAALYW,positive,1
97,2019-04-10,"Everybody is now acknowledging that, right from the time I announced my run for President, I was 100% correct on the Border. Remember the heat I took? Democrats should now get rid of the loopholes. The Border is being fixed. Mexico will not let people through!",neutral,0
98,2019-04-10,The Democrats must end the loopholes on immigration. So easy to solve!,positive,1
99,2019-04-10,"“The underlying issue remains the same without a single American being indicted for Collusion with Russia, & that is a stunning end considering we were led to believe (Fake News) that something much more dramatic would happen. Why did people fall for this?” @TuckerCarlson Molly H",negative,-1
100,2019-04-11,"“And the Radical Dems reeling in disarray as the President continues to Win, Win and Win again! The Left is PRETENDING to be shocked by A.G. William Barr’s testimony before Congress in which he said SPYING did occur on the Trump 2016 Campaign.” @LouDobbs @FoxNews",neutral,0
101,2019-04-11,"House Democrats want to negotiate a $2 TRILLION spending increase but can’t even pass their own plan. We can’t afford it anyway, and it’s not happening!",negative,-1
102,2019-04-11,Beautiful afternoon in the Oval Office today with a few great American HEROES!pic.twitter.com/HYEI83NVrm,positive,1
103,2019-04-11,"""Biggest scandal of our time - the coup that failed!"" @MariaBartiromopic.twitter.com/7JuifNK79T",negative,-1
104,2019-04-11,"""SPY GAMES: TIME FOR ANSWERS""pic.twitter.com/tRw7fb7Tys",neutral,0
105,2019-04-11,Great news! #MAGApic.twitter.com/haZ1HbVpNu,positive,1
106,2019-04-11,"Too bad that the European Union is being so tough on the United Kingdom and Brexit. The E.U. is likewise a brutal trading partner with the United States, which will change. Sometimes in life you have to let people breathe before it all comes back to bite you!",negative,-1
107,2019-04-11,I think what the Democrats are doing with the Border is TREASONOUS. Their Open Border mindset is putting our Country at risk. Will not let this happen!,negative,-1
108,2019-04-11,CONGRATULATIONS to @EricTrump and @LaraLeaTrump on the great news. So proud!,positive,1
109,2019-04-12,WSJ's Strassel: Barr 'Right' to Say 'Spying' Occurred on Trump Campaign | Breitbart http://bit.ly/2VHDlKn via @BreitbartNews,neutral,0
110,2019-04-12,WE WILL NEVER FORGET!pic.twitter.com/VxrGFRFeJM,negative,-1
111,2019-04-12,"....The Radical Left always seems to have an Open Borders, Open Arms policy – so this should make them very happy!",negative,-1
112,2019-04-12,"Due to the fact that Democrats are unwilling to change our very dangerous immigration laws, we are indeed, as reported, giving strong considerations to placing Illegal Immigrants in Sanctuary Cities only....",negative,-1
113,2019-04-12,"Even the Democrats now say that our Southern Border is a Crisis and a National Emergency. Hopefully, we will not be getting any more BAD (outrageous) court decisions!",negative,-1
114,2019-04-12,"“Democrats don’t like the results of the Mueller Report, so now they’re trying everything else.” @RepDougCollins They should stop wasting time and money and get back to real legislating, especially on the Border!",negative,-1
115,2019-04-12,"President Obama’s top White House lawyer, Gregory B. Craig, was indicted yesterday on very serious charges. This is a really big story, but the Fake News New York Times didn’t even put it on page one, rather page 16. @washingtonpost not much better, “tiny” page one. Corrupt News!",negative,-1
116,2019-04-12,"“I don’t need to know any more. We’re done, absolutely done, he (Mueller) tried the case. There’s NO COLLUSION.” @LindseyGrahamSC @foxandfriends No matter what we do or give to the Radical Left, it will never be enough!",negative,-1
117,2019-04-12,JOBLESS CLAIMS AT 50 YEAR LOW!,positive,1
118,2019-04-13,"I never offered Pardons to Homeland Security Officials, never ordered anyone to close our Southern Border (although I have the absolute right to do so, and may if Mexico does not apprehend the illegals coming to our Border), and am not “frustrated.” It is all Fake & Corrupt News!",negative,-1
119,2019-04-13,"....When I won the Election in 2016, the @nytimes had to beg their fleeing subscribers for forgiveness in that they covered the Election (and me) so badly. They didn’t have a clue, it was pathetic. They even apologized to me. But now they are even worse, really corrupt reporting!",neutral,0
120,2019-04-13,"The New York Times Sanctuary Cities/Immigration story today was knowingly wrong on almost every fact. They never call to check for truth. Their sources often don’t even exist, a fraud. They will lie & cheat anyway possible to make me look bad. In 6 years they will be gone........",negative,-1
121,2019-04-13,Great playing by @TigerWoods (at the) @TheMasters. Tomorrow will be a big and exciting day for golf and for sports. Many fantastic players in the hunt. Ratings Gold - Good luck to all!,positive,1
122,2019-04-13,"Why should Radical Left Democrats in Congress have a right to retry and examine the $35,000,000 (two years in the making) No Collusion Mueller Report, when the crime committed was by Crooked Hillary, the DNC and Dirty Cops? Attorney General Barr will make the decision!",negative,-1
123,2019-04-13,"....extraordinary growth, economic success and riches under the leadership of Chairman Kim. I look forward to the day, which could be soon, when Nuclear Weapons and Sanctions can be removed, and then watching North Korea become one of the most successful nations of the World!",positive,1
124,2019-04-13,"I agree with Kim Jong Un of North Korea that our personal relationship remains very good, perhaps the term excellent would be even more accurate, and that a third Summit would be good in that we fully understand where we each stand. North Korea has tremendous potential for.......",positive,1
125,2019-04-13,"In New York State, Democrats blocked a Bill expanding College Tuition for Gold Star families after approving aid for illegal immigrants. No wonder so many people are leaving N.Y. Very Sad!",neutral,0
126,2019-04-13,"Another Fake Story on @NBCNews that I offered Pardons to Homeland Securiy personnel in case they broke the law regarding illegal immigration and sanctuary cities. Of course this is not true. Mainstream Media is corrupt and getting worse, if that is possible, every day!",negative,-1
127,2019-04-13,A Fake Story by Politico. Made up sources. Thank you Mount Vernon!https://twitter.com/mVespa1/status/1116145996743024646 …,positive,1
128,2019-04-13,"Thank you Jeh, so well stated!https://twitter.com/WhiteHouse/status/1116712395844587521 …",positive,1
129,2019-04-13,"If the Radical Left Democrats all of a sudden don’t want the Illegal Migrants in their Sanctuary Cities (no more open arms), why should others be expected to take them into their communities? Go home and come into our Country legally and through a system of Merit!",negative,-1
130,2019-04-14,Love people who are great under pressure. What a fantastic life comeback for a really great guy!https://twitter.com/ChatByCC/status/1117494973270843394 …,positive,1
131,2019-04-14,"Congratulations to @TigerWoods., a truly Great Champion!",positive,1
132,2019-04-14,Watching final hole of @TheMasters. @TigerWoods is looking GREAT!,positive,1
133,2019-04-14,"Great Masters going on right now. @TigerWoods is leading with 2 holes left to play. Very exciting, tune in!",positive,1
134,2019-04-14,"If the Fed had done its job properly, which it has not, the Stock Market would have been up 5000 to 10,000 additional points, and GDP would have been well over 4% instead of 3%...with almost no inflation. Quantitative tightening was a killer, should have done the exact opposite!",negative,-1
135,2019-04-14,"Just out: The USA has the absolute legal right to have apprehended illegal immigrants transferred to Sanctuary Cities. We hereby demand that they be taken care of at the highest level, especially by the State of California, which is well known or its poor management & high taxes!",negative,-1
136,2019-04-14,"Democrats must change the Immigration Laws FAST. If not, Sanctuary Cities must immediately ACT to take care of the Illegal Immigrants - and this includes Gang Members, Drug Dealers, Human Traffickers, and Criminals of all shapes, sizes and kinds. CHANGE THE LAWS NOW!",negative,-1
137,2019-04-14,"....So interesting to see the Mayor of Oakland and other Sanctuary Cities NOT WANT our currently “detained immigrants” after release due to the ridiculous court ordered 20 day rule. If they don’t want to serve our Nation by taking care of them, why should other cities & towns?",neutral,0
138,2019-04-15,God bless the people of France!,positive,1
139,2019-04-15,"The forgotten voters of the 2016 Election are now doing great. The Steel Industry is rebuilding and expanding at a pace that it hasn’t seen in decades. Our Country has one of the best Economies in many years, perhaps ever. Unemployment numbers best in 51 years. Wow!",positive,1
140,2019-04-15,So horrible to watch the massive fire at Notre Dame Cathedral in Paris. Perhaps flying water tankers could be used to put it out. Must act quickly!,negative,-1
141,2019-04-15,"Spoke to @TigerWoods to congratulate him on the great victory he had in yesterday’s @TheMasters, & to inform him that because of his incredible Success & Comeback in Sports (Golf) and, more importantly, LIFE, I will be presenting him with the PRESIDENTIAL MEDAL OF FREEDOM!",positive,1
142,2019-04-15,Heading to the Great State of Minnesota!,positive,1
143,2019-04-15,"....Since there was no Collusion, why was there an Investigation in the first place! Answer - Dirty Cops, Dems and Crooked Hillary!",negative,-1
144,2019-04-15,"The Mueller Report, which was written by 18 Angry Democrats who also happen to be Trump Haters (and Clinton Supporters), should have focused on the people who SPIED on my 2016 Campaign, and others who fabricated the whole Russia Hoax. That is, never forget, the crime.....",negative,-1
145,2019-04-15,"Those Illegal Immigrants who can no longer be legally held (Congress must fix the laws and loopholes) will be, subject to Homeland Security, given to Sanctuary Cities and States!",negative,-1
146,2019-04-15,"Mark Morgan, President Obama’s Border Patrol Chief, gave the following message to me: “President Trump, stay the course.” I agree, and believe it or not, we are making great progress with a system that has been broken for many years!",neutral,0
147,2019-04-15,I finally agree with @Cher!pic.twitter.com/i5acSgUrCk,positive,1
148,2019-04-15,The Radical Left Democrats will never be satisfied with anything we give them. They will always Resist and Obstruct!,negative,-1
149,2019-04-15,THEY SPIED ON MY CAMPAIGN (We will never forget)!,positive,1
150,2019-04-15,"Before Nancy, who has lost all control of Congress and is getting nothing done, decides to defend her leader, Rep. Omar, she should look at the anti-Semitic, anti-Israel and ungrateful U.S. HATE statements Omar has made. She is out of control, except for her control of Nancy!",negative,-1
151,2019-04-15,Congress should come back to D.C. now and FIX THE IMMIGRATION LAWS!,negative,-1
152,2019-04-15,"Mueller, and the A.G. based on Mueller findings (and great intelligence), have already ruled No Collusion, No Obstruction. These were crimes committed by Crooked Hillary, the DNC, Dirty Cops and others! INVESTIGATE THE INVESTIGATORS!",negative,-1
153,2019-04-15,"What do I know about branding, maybe nothing (but I did become President!), but if I were Boeing, I would FIX the Boeing 737 MAX, add some additional great features, & REBRAND the plane with a new name. No product has suffered like this one. But again, what the hell do I know?",negative,-1
154,2019-04-15,"Chinese Telecom Giant Huawei hires former Obama Cyber Security Official as a lobbyist. This is not good, or acceptable! @FoxNews @SteveHiltonx",negative,-1
155,2019-04-15,". @SteveHiltonx “This is President Trump trying to deliver on his promises while the bureaucratic machine fights his agenda. He needs populist allies. These changes are not chaos, but rather progress. All this is President Trump at his absolute best.” Thank you Steve!",negative,-1
156,2019-04-15,"Such a “puff piece” on Nancy Pelosi by @60minutes, yet her leadership has passed no meaningful Legislation. All they do is Investigate, as it turns out, crimes that they instigated & committed. The Mueller No Collusion decision wasn’t even discussed-and she was a disaster at W.H.",negative,-1
157,2019-04-16,Just signed a critical bill to formalize drought contingency plans for the Colorado River. Thanks to @SenMcSallyAZ for getting it done. Big deal for Arizona!,positive,1
158,2019-04-16,"I will be in Green Bay, Wisconsin on Saturday, April 27th at the Resch Center — 7:00pm (CDT). Big crowd expected! #MAGA https://www.donaldjtrump.com/rallies/apr-gb-wi-2019 …",positive,1
159,2019-04-16,"So weird to watch Crazy Bernie on @FoxNews. Not surprisingly, @BretBaier and the “audience” was so smiley and nice. Very strange, and now we have @donnabrazile?",positive,1
160,2019-04-16,No Collusion - No Obstruction!,negative,-1
161,2019-04-16,"A must read, Andy McCarthy’s column today, “Dirty dealings of dirt devils who concocted Trump-Russia probe.” The greatest Scam in political history. If the Mainstream Media were honest, which they are not, this story would be bigger and more important than Watergate. Someday!",neutral,0
162,2019-04-16,No Collusion - No Obstruction!pic.twitter.com/cbFOEEyLtM,negative,-1
163,2019-04-17,....in my conversation yesterday with President @EmmanuelMacron of France. I also wished both Pope Francis and President Macron a very Happy Easter!,positive,1
